app_type,group_id,objective_bin,main_heuristic_id,main_strategy,main_objective,main_obj_rank,main_obj_percentile,main_is_good_top10pct,neighbor_rank,neighbor_heuristic_id,neighbor_strategy,neighbor_objective,ast_cosine_sim,neighbor_obj_diff,neighbor_is_better_than_main
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,4,pop_0_op_i1_n5_251225_141156,i1,3892087.9,0.9965381991605057,40010.299999999814,False
cvrp_lns,8,high,pop_0_op_i1_n3_251225_145628,i1,3852077.6,1191,0.764933,False,5,pop_0_op_i1_n19_251225_141156,i1,3729041.2,0.9964552333574151,-123036.3999999999,True
cvrp_lns,9,mid,pop_5_op_e1_n11_251226_064644,e1,3808717.5,1031,0.662171,False,1,pop_3_op_e1_n18_251226_003906,e1,3893279.6,0.9988912566004653,84562.1000000001,False
cvrp_lns,9,mid,pop_5_op_e1_n11_251226_064644,e1,3808717.5,1031,0.662171,False,2,pop_5_op_e2_n7_251226_073535,e2,3871200.4,0.9987247647818804,62482.89999999991,False
cvrp_lns,9,mid,pop_5_op_e1_n11_251226_064644,e1,3808717.5,1031,0.662171,False,3,pop_11_op_e2_n4_251227_033505,e2,3677310.3,0.9987053956227312,-131407.2000000002,True
cvrp_lns,9,mid,pop_5_op_e1_n11_251226_064644,e1,3808717.5,1031,0.662171,False,4,pop_19_op_e2_n10_251228_065631,e2,3491023.3,0.9986975210555699,-317694.2000000002,True
cvrp_lns,9,mid,pop_5_op_e1_n11_251226_064644,e1,3808717.5,1031,0.662171,False,5,pop_1_op_e1_n12_251225_183903,e1,3636743.0,0.9986652865202345,-171974.5,True
cvrp_lns,10,high,pop_1_op_m1_n0_251225_200231,m1,3944961.7,1404,0.901734,False,1,pop_1_op_e1_n11_251225_183903,e1,3937780.7,0.9982913770378136,-7181.0,True
cvrp_lns,10,high,pop_1_op_m1_n0_251225_200231,m1,3944961.7,1404,0.901734,False,2,pop_0_op_e2_n1_251225_162047,e2,3727338.2,0.9981714938666728,-217623.5,True
cvrp_lns,10,high,pop_1_op_m1_n0_251225_200231,m1,3944961.7,1404,0.901734,False,3,pop_2_op_e2_n6_251225_221616,e2,3804181.2,0.9980967415020026,-140780.5,True
cvrp_lns,10,high,pop_1_op_m1_n0_251225_200231,m1,3944961.7,1404,0.901734,False,4,pop_7_op_e2_n3_251226_140215,e2,3823194.6,0.9977863901271441,-121767.1000000001,True
cvrp_lns,10,high,pop_1_op_m1_n0_251225_200231,m1,3944961.7,1404,0.901734,False,5,pop_6_op_e2_n0_251226_105034,e2,3977110.3,0.9977678405907734,32148.599999999627,False
premarshalling_astar,1,low,pop_13_op_m2_n18_250821_223431,m2,0.33863,1139,0.245104,False,1,pop_14_op_m2_n15_250821_231254,m2,0.88488,1.0,0.54625,False
premarshalling_astar,1,low,pop_13_op_m2_n18_250821_223431,m2,0.33863,1139,0.245104,False,2,pop_19_op_m2_n14_250822_040805,m2,0.25855,1.0,-0.08007999999999998,True
premarshalling_astar,1,low,pop_13_op_m2_n18_250821_223431,m2,0.33863,1139,0.245104,False,3,pop_8_op_m1_n2_250821_183518,m1,0.10648,1.0,-0.23214999999999997,True
premarshalling_astar,1,low,pop_13_op_m2_n18_250821_223431,m2,0.33863,1139,0.245104,False,4,pop_16_op_m2_n19_250822_004123,m2,0.22244,1.0,-0.11618999999999999,True
premarshalling_astar,1,low,pop_13_op_m2_n18_250821_223431,m2,0.33863,1139,0.245104,False,5,pop_8_op_m2_n13_250821_184440,m2,0.22244,1.0,-0.11618999999999999,True
premarshalling_astar,2,mid,pop_5_op_m1_n0_250825_144407,m1,0.68948,2614,0.562513,False,1,pop_2_op_e2_n15_250825_120607,e2,0.68948,0.9999999999999998,0.0,False
premarshalling_astar,2,mid,pop_5_op_m1_n0_250825_144407,m1,0.68948,2614,0.562513,False,2,pop_6_op_m1_n14_250825_151929,m1,0.68948,0.9999999999999998,0.0,False
