i,j,heuristic_i,heuristic_j,distance_struct,distance_perf
315,463,pop_12_op_m1_n18_251227_074705,pop_14_op_m1_n0_251227_143951,0.0043785446,318598.5
1123,1267,pop_4_op_e2_n11_251226_042834,pop_6_op_e1_n6_251226_100202,0.0037573613,248341.0
476,507,pop_14_op_m1_n5_251227_143951,pop_15_op_e1_n15_251227_162003,0.005602253,217100.25
687,1259,pop_17_op_e2_n7_251228_000153,pop_6_op_e1_n17_251226_100202,0.0026815326,232056.0
901,1340,pop_1_op_e2_n15_251225_192420,pop_7_op_e1_n6_251226_131453,0.0029838851,16314.5
680,851,pop_17_op_e2_n19_251228_000153,pop_19_op_m1_n4_251228_074716,0.0030425272,452294.75
16,275,pop_0_op_e1_n9_251225_153652,pop_12_op_e1_n17_251227_060501,0.0045474027,80686.75
0,721,pop_0_op_e1_n0_251225_153652,pop_17_op_m2_n4_251228_014656,0.009471246,553139.5
678,1333,pop_17_op_e2_n17_251228_000153,pop_7_op_e1_n18_251226_131453,0.0065929545,188575.75
30,1009,pop_0_op_e2_n3_251225_162047,pop_2_op_m2_n11_251225_235254,0.0041532046,135719.25
1181,1468,pop_5_op_e1_n14_251226_064644,pop_8_op_m2_n16_251226_191044,0.008331666,444613.5
203,767,pop_11_op_e1_n5_251227_024432,pop_18_op_m1_n13_251228_041951,0.0033782637,630197.75
844,1120,pop_19_op_m1_n16_251228_074716,pop_4_op_e1_n9_251226_034419,0.0042810813,615955.0
449,1032,pop_14_op_e2_n15_251227_135021,pop_3_op_e1_n15_251226_003906,0.0031495732,84175.5
672,701,pop_17_op_e2_n11_251228_000153,pop_17_op_m1_n3_251228_005726,0.007617172,171878.75
480,689,pop_14_op_m1_n9_251227_143951,pop_17_op_e2_n9_251228_000153,0.003996927,259838.5
486,976,pop_14_op_m2_n14_251227_152817,pop_2_op_e2_n17_251225_221616,0.010334924,261257.5
28,218,pop_0_op_e2_n1_251225_162047,pop_11_op_e2_n19_251227_033505,0.012184459,250418.0
115,909,pop_10_op_e1_n14_251226_232328,pop_1_op_e2_n5_251225_192420,0.007926379,380129.0
147,813,pop_10_op_e2_n8_251227_001656,pop_19_op_e1_n3_251228_060424,0.0073082936,234528.5
349,1011,pop_13_op_e1_n13_251227_092959,pop_2_op_m2_n13_251225_235254,0.01053497,285996.5
509,978,pop_15_op_e1_n17_251227_162003,pop_2_op_e2_n19_251225_221616,0.0058327885,9475.0
131,140,pop_10_op_e2_n10_251227_001656,pop_10_op_e2_n19_251227_001656,0.0016463852,214502.5
77,1179,pop_0_op_m1_n15_251225_170919,pop_5_op_e1_n12_251226_064644,0.0021313236,102497.0
197,647,pop_11_op_e1_n18_251227_024432,pop_16_op_m2_n3_251227_221945,0.006344928,47993.0
587,1225,pop_16_op_e1_n2_251227_194508,pop_5_op_m1_n3_251226_082330,0.0021452988,42447.5
64,254,pop_0_op_i1_n6_251225_145628,pop_11_op_m2_n16_251227_051511,0.019666078,69635.5
279,360,pop_12_op_e1_n2_251227_060501,pop_13_op_e1_n5_251227_092959,0.0056281965,10149.75
470,769,pop_14_op_m1_n18_251227_143951,pop_18_op_m1_n15_251228_041951,0.005481086,348429.5
293,453,pop_12_op_e2_n15_251227_065610,pop_14_op_e2_n19_251227_135021,0.0066467235,507553.5
17,513,pop_0_op_e2_n0_251225_162047,pop_15_op_e1_n2_251227_162003,0.010618885,83424.25
182,1028,pop_10_op_m2_n4_251227_015504,pop_3_op_e1_n10_251226_003906,0.0059597683,6564.25
