pair_idx,heuristic_id_1,heuristic_id_2,raw_app_type,task_name,d_codebleu,d_ngram,d_weighted_ngram,d_syntax,d_dataflow,cb_d_perf
6838,pop_4_op_m2_n2_251224_152807,pop_14_op_e2_n4_251224_174130,bin_greedy,BinPacking,0.7080483310224375,0.9102312212254573,0.9049166483188381,0.6212121212121212,0.39583333333333337,0.006540000000000001
6839,pop_4_op_m2_n2_251224_152807,pop_19_op_m1_n13_251224_191406,bin_greedy,BinPacking,0.73063352099878,0.9062610335024407,0.8936508672910406,0.6716417910447761,0.4509803921568627,0.025060000000000002
6840,pop_4_op_m2_n2_251224_152807,pop_19_op_m2_n3_251225_020114,bin_greedy,BinPacking,0.7388578655309586,0.9408999156314676,0.9299161618769821,0.5512820512820513,0.5333333333333333,0.02314
6841,pop_4_op_m2_n2_251224_152807,pop_5_op_e2_n8_251224_204803,bin_greedy,BinPacking,0.7552104205881044,0.9308045276375205,0.9142637208223313,0.5730337078651686,0.6027397260273972,0.011469999999999998
6842,pop_4_op_m2_n2_251224_152807,pop_18_op_m2_n6_251224_190103,bin_greedy,BinPacking,0.6910616422326203,0.9043519487953734,0.8919801816324341,0.5757575757575757,0.3921568627450981,0.84596
6843,pop_4_op_m2_n2_251224_152807,pop_15_op_e1_n19_251224_175346,bin_greedy,BinPacking,0.7144487928503265,0.8970368322485684,0.8884544175841103,0.6764705882352942,0.39583333333333337,0.00835
6844,pop_4_op_m2_n2_251224_152807,pop_1_op_m2_n8_251224_195142,bin_greedy,BinPacking,0.6319010198744754,0.8423097248998025,0.7663530808181158,0.5641025641025641,0.3548387096774194,0.006540000000000001
6845,pop_4_op_m2_n2_251224_152807,pop_0_op_e1_n11_251224_134701,bin_greedy,BinPacking,0.7231464772004543,0.9246853994743646,0.9171486296282044,0.6578947368421053,0.3928571428571429,1.4845499999999998
6846,pop_4_op_m2_n2_251224_152807,pop_15_op_e2_n17_251225_002222,bin_greedy,BinPacking,0.7484079227679046,0.9224443327842083,0.9106935311269158,0.6049382716049383,0.5555555555555556,0.009659999999999998
6847,pop_4_op_m2_n2_251224_152807,pop_1_op_e2_n4_251224_194452,bin_greedy,BinPacking,0.6882260673243312,0.8825801219597282,0.8755614632132103,0.5692307692307692,0.42553191489361697,1.4845499999999998
6848,pop_4_op_m2_n2_251224_152807,pop_3_op_e2_n19_251224_201332,bin_greedy,BinPacking,0.7277364840874413,0.9311447444328013,0.9209776625051993,0.5,0.5588235294117647,1.4845499999999998
6849,pop_4_op_m2_n2_251224_152807,pop_10_op_e1_n11_251224_163329,bin_greedy,BinPacking,0.4693357552882803,0.556747942634795,0.5428649776815958,0.45569620253164556,0.3220338983050848,0.0009000000000000015
6850,pop_4_op_m2_n2_251224_152807,pop_3_op_e1_n9_251224_200916,bin_greedy,BinPacking,0.7282047170698612,0.9488088188802485,0.923469508858656,0.5,0.5405405405405406,0.003519999999999999
